Rk;Player;Pos;Age;Tm;g;mp_per_g;pts_per_g;trb_per_g;ast_per_g;stl_per_g;blk_per_g;fg_pct;fg3_pct;ft_pct;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
280;Brook Lopez\lopezbr01;C;31;MIL;36;26.38888889;10.30555556;4.888888889;1.5;0.694444444;2.583333333;.408;.304;.864;36;950;131;321;.408;52;171;.304;79;150;.527;.489;57;66;.864;24;152;176;54;25;93;36;86;371
281;Robin Lopez\lopezro01;C;31;MIL;38;14.68421053;5.868421053;2.815789474;0.684210526;0.157894737;0.736842105;.519;.283;.486;2;558;94;181;.519;17;60;.283;77;121;.636;.566;18;37;.486;40;67;107;26;6;28;37;52;223
282;Kevin Love\loveke01;PF;31;CLE;31;30.74193548;16.83870968;10.22580645;2.903225806;0.548387097;0.419354839;.461;.385;.851;31;953;172;373;.461;75;195;.385;97;178;.545;.562;103;121;.851;28;289;317;90;17;13;84;44;522
283;Kyle Lowry\lowryky01;PG;33;TOR;26;38.30769231;21;4.692307692;7.5;1.115384615;0.461538462;.408;.353;.870;26;996;161;395;.408;83;235;.353;78;160;.488;.513;141;162;.870;14;108;122;195;29;12;79;81;546
284;Timothé Luwawu-Cabarrot\luwawti01;SG;24;BRK;14;17.57142857;5;2.142857143;0.714285714;0.428571429;0.071428571;.371;.333;.737;0;246;23;62;.371;10;30;.333;13;32;.406;.452;14;19;.737;7;23;30;10;6;1;15;26;70
285;Trey Lyles\lylestr01;PF;24;SAS;35;17.08571429;4.771428571;5.828571429;1.228571429;0.257142857;0.314285714;.405;.337;.682;25;598;62;153;.405;28;83;.337;34;70;.486;.497;15;22;.682;41;163;204;43;9;11;21;44;167
286;Daryl Macon\maconda01;SG;24;MIA;4;3.5;0.75;0;0.25;0;0;.333;.500;;0;14;1;3;.333;1;2;.500;0;1;.000;.500;0;0;;0;0;0;1;0;0;2;1;3
287;Josh Magette\magetjo01;PG;30;ORL;6;2.5;1.166666667;0.5;0.333333333;0.333333333;0;.375;;.500;0;15;3;8;.375;0;0;;3;8;.375;.375;1;2;.500;1;2;3;2;2;0;4;0;7
288;Ian Mahinmi\mahinia01;C;33;WAS;16;21.5;7.5625;5.6875;1.1875;0.75;1.625;.518;.231;.556;13;344;44;85;.518;3;13;.231;41;72;.569;.535;30;54;.556;37;54;91;19;12;26;23;48;121
289;Thon Maker\makerth01;C;22;DET;36;11.02777778;3.722222222;1.944444444;0.416666667;0.305555556;0.5;.512;.370;.623;3;397;43;84;.512;10;27;.370;33;57;.579;.571;38;61;.623;22;48;70;15;11;18;23;49;134
290;Terance Mann\mannte01;SG;23;LAC;22;9.227272727;2.363636364;1.136363636;1.272727273;0.272727273;0.136363636;.500;.222;.800;5;203;21;42;.500;2;9;.222;19;33;.576;.524;8;10;.800;3;22;25;28;6;3;12;26;52
291;Boban Marjanović\marjabo01;C;31;DAL;18;9.444444444;5;4.055555556;0.444444444;0.111111111;0.166666667;.543;.000;.700;1;170;38;70;.543;0;4;.000;38;66;.576;.543;14;20;.700;19;54;73;8;2;3;14;29;90
292;Lauri Markkanen\markkla01;PF;22;CHI;37;30.27027027;15.43243243;6.675675676;1.594594595;0.864864865;0.540540541;.423;.350;.827;37;1120;191;452;.423;84;240;.350;107;212;.505;.515;105;127;.827;45;202;247;59;32;20;62;72;571
293;Caleb Martin\martica02;SF;24;CHO;5;6.4;1.8;1;0.6;0.2;0.4;.300;.000;.600;0;32;3;10;.300;0;3;.000;3;7;.429;.300;3;5;.600;1;4;5;3;1;2;3;3;9
294;Cody Martin\martico01;SF;24;CHO;29;14.72413793;4.034482759;2.620689655;1.172413793;0.75862069;0.172413793;.408;.211;.690;0;427;40;98;.408;8;38;.211;32;60;.533;.449;29;42;.690;17;59;76;34;22;5;17;43;117
295;Kelan Martin\martike03;SF;24;MIN;17;17.35294118;5.764705882;3.411764706;0.529411765;0.176470588;0.294117647;.358;.263;1.000;3;295;39;109;.358;15;57;.263;24;52;.462;.427;5;5;1.000;5;53;58;9;3;5;6;32;98
296;Frank Mason\masonfr01;PG;25;MIL;4;4.5;1.25;0.5;1.25;0.25;0;.143;.250;.500;0;18;1;7;.143;1;4;.250;0;3;.000;.214;2;4;.500;1;1;2;5;1;0;1;2;5
297;Garrison Mathews\mathega01;SG;23;WAS;15;13.06666667;6.2;1.533333333;0.666666667;0.2;0.066666667;.460;.429;.906;0;196;23;50;.460;18;42;.429;5;8;.625;.640;29;32;.906;6;17;23;10;3;1;7;26;93
298;Wesley Matthews\matthwe02;SG;33;MIL;35;24.11428571;7.742857143;2.4;1.371428571;0.714285714;0.171428571;.422;.376;.795;35;844;92;218;.422;56;149;.376;36;69;.522;.550;31;39;.795;7;77;84;48;25;6;24;52;271
299;Patrick McCaw\mccawpa01;SF;24;TOR;16;26.875;6.125;2.5625;1.9375;1.25;0.0625;.424;.350;.750;10;430;39;92;.424;14;40;.350;25;52;.481;.500;6;8;.750;8;33;41;31;20;1;17;28;98
300;CJ McCollum\mccolcj01;SG;28;POR;37;36.48648649;21.94594595;4.297297297;3.837837838;0.810810811;0.648648649;.453;.365;.802;37;1350;324;716;.453;95;260;.365;229;456;.502;.519;69;86;.802;28;131;159;142;30;24;68;95;812
301;T.J. McConnell\mccontj01;PG;27;IND;35;18.71428571;7;2.685714286;5.285714286;0.628571429;0.142857143;.512;.364;.826;0;655;111;217;.512;4;11;.364;107;206;.519;.521;19;23;.826;19;75;94;185;22;5;50;37;245
302;Jalen McDaniels\mcdanja01;PF;22;CHO;2;3.5;2;0.5;0;0;0;.400;.000;;0;7;2;5;.400;0;1;.000;2;4;.500;.400;0;0;;1;0;1;0;0;0;0;0;4
303;Doug McDermott\mcderdo01;PF;28;IND;37;20.81081081;9.540540541;2.621621622;1.054054054;0.108108108;0.081081081;.468;.453;.808;0;770;132;282;.468;68;150;.453;64;132;.485;.589;21;26;.808;16;81;97;39;4;3;25;66;353
